"Id";"Category";"Label";"Primary Yardstick";"Secondary Yardstick";"Primary Comment";"Secondary Comment";"Primary UoM";"Secondary UoM"
"http://environment.data.gov.uk/asset-management/id/drl/NavigationComplex";"http://environment.data.gov.uk/asset-management/id/drl/AssetComplex";"Navigation Complex";"Nr";;;;"Nr";
"http://environment.data.gov.uk/asset-management/id/drl/NavigationSignage";"http://environment.data.gov.uk/asset-management/id/drl/AidsToNavigation";"Navigation Signage";"Nr";;;;"Nr";
"http://environment.data.gov.uk/asset-management/id/drl/OfficeBuilding";"http://environment.data.gov.uk/asset-management/id/drl/BuildingsAndCompounds";"Office Building";"m2";"m3";;;"m2";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/OpenChannel";"http://environment.data.gov.uk/asset-management/id/drl/Channel";"Open Channel";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/OrificeFlowControl";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Orifice Flow Control";"l/s (maximum flow)";"mm (diameter)";"maximum flow";"diameter";"l/s";"mm"
"http://environment.data.gov.uk/asset-management/id/drl/Outfall";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Outfall";"mm (diameter)";"m3";"diameter";;"mm";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/PsraTreeSite";"http://environment.data.gov.uk/asset-management/id/drl/PublicSafety";"PSRA Tree Site";"Nr";;;;"Nr";
"http://environment.data.gov.uk/asset-management/id/drl/Pathway";"http://environment.data.gov.uk/asset-management/id/drl/Amenities";"Pathway";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/PermissionsOwnershipAndResponsibility";"http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables";"Permissions, ownership and responsibility";"Not Measurable";"Not Measurable";;;"None";"None"
"http://environment.data.gov.uk/asset-management/id/drl/Pier";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Pier";"m2";"m3";;;"m2";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/Piezometer";"http://environment.data.gov.uk/asset-management/id/drl/Instruments";"Piezometer";"Nr";;;;"Nr";
"http://environment.data.gov.uk/asset-management/id/drl/Planning";"http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables";"Planning";"Not Measurable";"Not Measurable";;;"None";"None"
"http://environment.data.gov.uk/asset-management/id/drl/PollutionContainmentPond";"http://environment.data.gov.uk/asset-management/id/drl/SurfaceWaterManagement";"Pollution Containment Pond";;;;;;
"http://environment.data.gov.uk/asset-management/id/drl/PollutionContainmentTank";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Pollution Containment Tank";;;;;;
"http://environment.data.gov.uk/asset-management/id/drl/PowerTransmission";"http://environment.data.gov.uk/asset-management/id/drl/MechanicalAndElectrical";"Power Transmission";"kVA";"KW";;;"kVA";"KW"
"http://environment.data.gov.uk/asset-management/id/drl/PrecipitationCompound";"http://environment.data.gov.uk/asset-management/id/drl/BuildingsAndCompounds";"Precipitation Compound";"m2";"Nr";;;"m2";"Nr"
"http://environment.data.gov.uk/asset-management/id/drl/PressureSystemAssembly";"http://environment.data.gov.uk/asset-management/id/drl/MechanicalAndElectrical";"Pressure System Assembly";"Bar";"Nr";;;"Bar";"Nr"
"http://environment.data.gov.uk/asset-management/id/drl/ProcurementProducts";"http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables";"Procurement Products";"Not Measurable";"Not Measurable";;;"None";"None"
"http://environment.data.gov.uk/asset-management/id/drl/ProjectManagement";"http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables";"Project Management";"Not Measurable";"Not Measurable";;;"None";"None"
"http://environment.data.gov.uk/asset-management/id/drl/Promenade";"http://environment.data.gov.uk/asset-management/id/drl/Defence";"Promenade";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/PublicSafetyControlSystem";"http://environment.data.gov.uk/asset-management/id/drl/PublicSafety";"Public Safety Control System";"Nr";"m2";;;"Nr";"m2"
"http://environment.data.gov.uk/asset-management/id/drl/PumpAssembly";"http://environment.data.gov.uk/asset-management/id/drl/MechanicalAndElectrical";"Pump Assembly";"kW";;;;"kW";
"http://environment.data.gov.uk/asset-management/id/drl/PumpHouse";"http://environment.data.gov.uk/asset-management/id/drl/BuildingsAndCompounds";"Pump House";"m2";"m3";;;"m2";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/PumpingStation";"http://environment.data.gov.uk/asset-management/id/drl/AssetComplex";"Pumping Station";"l/s (Design Flow)";"kW";"Design Flow";;"l/s";"kW"
"http://environment.data.gov.uk/asset-management/id/drl/Quay";"http://environment.data.gov.uk/asset-management/id/drl/Defence";"Quay";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/RainwaterHarvestingSystem";"http://environment.data.gov.uk/asset-management/id/drl/SurfaceWaterManagement";"Rainwater Harvesting System";;;;;;
"http://environment.data.gov.uk/asset-management/id/drl/Ramp";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Ramp";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/RecreationalComplex";"http://environment.data.gov.uk/asset-management/id/drl/AssetComplex";"Recreational Complex";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/Reservoir";"http://environment.data.gov.uk/asset-management/id/drl/AssetComplex";"Reservoir";"m3";;;;"m3";
"http://environment.data.gov.uk/asset-management/id/drl/ResidentialBuilding";"http://environment.data.gov.uk/asset-management/id/drl/BuildingsAndCompounds";"Residential Building";"m2";"m3";;;"m2";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/SaltMarsh";"http://environment.data.gov.uk/asset-management/id/drl/Land";"Salt Marsh";"ha";"m2";;;"ha";"m2"
"http://environment.data.gov.uk/asset-management/id/drl/SampleOrSurveyPoint";"http://environment.data.gov.uk/asset-management/id/drl/Instruments";"Sample or Survey Point";"Nr";;;;"Nr";
"http://environment.data.gov.uk/asset-management/id/drl/SandBaggingEquipment";"http://environment.data.gov.uk/asset-management/id/drl/MechanicalAndElectrical";"Sand Bagging Equipment";"Nr";;;;"Nr";
"http://environment.data.gov.uk/asset-management/id/drl/SandTrap";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Sand Trap";"m3";;;;"m3";
"http://environment.data.gov.uk/asset-management/id/drl/Scrape";"http://environment.data.gov.uk/asset-management/id/drl/SurfaceWaterManagement";"Scrape";"ha";"m2";;;"ha";"m2"
"http://environment.data.gov.uk/asset-management/id/drl/SecurityScreen";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Security Screen";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/SedimentationPond";"http://environment.data.gov.uk/asset-management/id/drl/SurfaceWaterManagement";"Sedimentation Pond";;;;;;
"http://environment.data.gov.uk/asset-management/id/drl/Shelter";"http://environment.data.gov.uk/asset-management/id/drl/BuildingsAndCompounds";"Shelter";"m2";"m3";;;"m2";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/Signal";"http://environment.data.gov.uk/asset-management/id/drl/AidsToNavigation";"Signal";"Nr";;;;"Nr";
"http://environment.data.gov.uk/asset-management/id/drl/SimpleCulvert";"http://environment.data.gov.uk/asset-management/id/drl/Channel";"Simple Culvert";"m (length of the channel)";"m3";"length of the channel";;"m";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/SiteAndAssetConditions";"http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables";"Site and Asset Conditions";"Not Measurable";"Not Measurable";;;"None";"None"
"http://environment.data.gov.uk/asset-management/id/drl/SiteBasedWorks";"http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables";"Site-based works";"Not Measurable";"Not Measurable";;;"None";"None"
"http://environment.data.gov.uk/asset-management/id/drl/Slipway";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Slipway";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/SoilMoistureTube";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Soil Moisture Tube";"Nr";;;;"Nr";
